#{"t_start": 1622666921.248959, "env_id": null}
r,l,t
59.351495,13,1107.567125
53.690078,11,1108.430465
49.121427,11,1109.269689
49.215908,11,1110.123696
53.498515,11,1111.012748
39.38563,8,1111.664594
79.421965,15,1112.835795
49.286715,10,1113.621618
53.813054,11,1114.486971
44.294923,10,1115.274033
48.6115,10,1116.074379
34.455791,8,1116.708949
126.38281,26,1118.729877
46.150564,9,1119.423003
44.216544,9,1120.136471
39.399876,8,1120.763661
73.176224,14,1121.870006
63.278868,13,1122.889577
71.152237,12,1123.834626
44.226269,9,1124.544112
49.333888,11,1125.416148
39.332631,8,1126.052664
44.232205,9,1126.770898
59.053915,12,1127.700324
96.772884,19,1129.200573
49.210542,10,1129.995438
54.27645,12,1130.927475
59.156035,13,1131.937168
54.297422,12,1132.876785
44.427419,10,1133.638601
68.999387,15,1134.856087
49.311482,10,1135.638465
39.462992,9,1136.337942
69.120379,15,1137.475388
54.243482,12,1138.419887
49.295519,11,1139.269958
44.336567,10,1140.032774
48.576536,9,1140.751824
39.411569,8,1141.398313
44.304727,9,1142.121537
99.218821,19,1143.578183
64.181492,14,1144.666066
49.188698,10,1145.456917
39.257302,8,1146.080393
59.05783,13,1147.09993
39.39875,8,1147.742309
80.715529,14,1148.824423
38.832623,8,1149.466704
83.944546,18,1150.884883
44.238118,10,1151.656576
39.372422,8,1152.294536
68.215907,13,1153.311476
58.363067,12,1154.267853
59.020935,13,1155.26421
49.054153,10,1156.047462
34.495953,8,1156.679255
49.358058,11,1157.51476
80.557557,16,1158.729636
52.760017,9,1159.435525
52.814536,10,1160.229515
54.272205,11,1161.090046
83.597565,16,1162.365607
74.918726,15,1163.560997
86.212771,16,1164.809415
73.827076,15,1165.995775
53.437578,10,1166.79308
111.771901,21,1168.399106
93.47973,19,1169.864032
34.483178,8,1170.488277
73.903285,15,1171.684418
81.02686,17,1172.991188
48.52286,10,1173.808387
49.276592,11,1174.69903
76.242394,12,1175.647631
73.809056,15,1176.811795
68.61223,13,1177.810756
74.004698,16,1179.056312
46.33515,10,1179.837285
54.710026,11,1180.701783
49.194364,11,1181.558574
93.80097,19,1183.108396
55.338815,10,1183.911005
68.932226,15,1185.076083
39.485486,9,1185.771466
34.416134,7,1186.328046
68.40456,14,1187.397938
82.554269,16,1188.655403
70.244213,14,1189.748117
66.109752,12,1190.686963
86.078538,15,1191.846552
44.390978,10,1192.617936
44.2419,9,1193.319227
44.243756,9,1194.009028
133.334085,28,1196.215841
48.419909,10,1196.996411
49.236991,10,1197.788812
68.948873,15,1198.920388
93.698771,18,1200.342248
69.309025,14,1201.469664
63.972299,13,1202.440945
54.308479,12,1203.364632
34.504758,8,1203.998085
49.226429,10,1204.778529
46.154428,9,1205.476614
44.373216,10,1206.265061
44.360325,10,1207.054106
44.269945,9,1207.771452
60.138736,12,1208.721735
70.231517,14,1209.790756
49.201084,10,1210.598479
49.194723,10,1211.39274
44.25964,9,1212.122707
98.847991,20,1213.658818
55.359134,11,1214.568042
39.317217,9,1215.271426
127.903955,26,1217.2514
43.721581,9,1217.974193
195.374777,34,1220.632127
39.385489,9,1221.322294
59.148526,12,1222.24883
86.924467,15,1223.423401
59.130984,12,1224.367563
39.470643,9,1225.047423
67.512567,12,1225.984387
80.411513,15,1227.147905
53.151191,10,1227.956858
39.550012,9,1228.677315
50.574419,10,1229.45804
44.299708,9,1230.177563
54.274031,12,1231.116148
88.77351,18,1232.519699
43.479355,9,1233.220849
87.292763,16,1234.470149
44.333719,10,1235.24676
59.201483,13,1236.273695
49.248911,10,1237.074816
34.442775,7,1237.638556
76.939257,15,1238.834608
88.768247,18,1240.26179
78.608916,16,1241.537297
59.117253,13,1242.541466
54.081441,11,1243.405074
54.301245,9,1244.138861
77.381678,14,1245.268089
54.087597,11,1246.163304
49.34934,10,1246.970326
125.522858,22,1248.711872
49.23147,10,1249.512346
34.374084,7,1250.076998
49.147352,10,1250.87101
49.412888,11,1251.774533
58.660555,12,1252.732483
44.238881,9,1253.437854
66.12598,14,1254.520958
59.1857,12,1255.477637
76.973826,15,1256.671904
39.385936,8,1257.327611
59.124719,12,1258.273216
61.928212,12,1259.233867
34.384195,7,1259.811535
72.361284,13,1260.814041
34.434424,8,1261.436674
48.269054,10,1262.208265
39.438837,9,1262.918074
54.313986,12,1263.861004
39.498846,9,1264.560973
48.626125,10,1265.369064
34.335359,7,1265.91958
53.599876,11,1266.798715
64.311988,13,1267.833033
54.314488,12,1268.781779
57.356268,12,1269.706854
54.89186,9,1270.403608
69.183527,15,1271.591596
77.250575,15,1272.750003
44.197795,9,1273.438805
54.260028,11,1274.313615
73.889618,16,1275.573977
68.426646,14,1276.68415
62.331109,13,1277.69739
66.943735,13,1278.715782
87.950596,17,1280.072987
54.113932,11,1280.965534
39.479861,9,1281.682188
49.138221,10,1282.4603
68.867241,14,1283.56651
39.400086,9,1284.27855
54.20859,12,1285.196332
68.970094,15,1286.366822
34.363749,7,1286.926028
44.365425,9,1287.626012
44.36159,10,1288.407661
64.239814,14,1289.509861
44.227376,9,1290.22942
49.317517,10,1291.050392
29.420092,6,1291.526345
100.658009,20,1293.096062
34.393514,8,1293.730085
63.336834,12,1294.679825
93.097061,18,1296.136267
49.225934,11,1296.975561
63.924766,13,1297.958204
39.442681,8,1298.590501
54.310937,12,1299.521397
88.794483,19,1300.972086
98.407274,20,1302.551798
34.30143,7,1303.123579
70.359439,13,1304.174878
78.870235,16,1305.421494
44.297625,9,1306.124451
73.900168,16,1307.347363
49.310441,10,1308.13033
69.089943,15,1309.28557
39.413312,9,1309.983183
39.44885,9,1310.68405
64.28037,14,1311.769644
39.247887,8,1312.396387
97.276677,19,1313.905488
61.970095,13,1314.91295
97.382204,18,1316.327011
52.844937,9,1317.050442
144.746517,21,1318.668768
64.153224,13,1319.725092
68.383147,13,1320.770034
49.18329,10,1321.57004
44.182826,9,1322.279675
44.299954,9,1323.001839
44.148456,9,1323.701002
83.825662,17,1325.050196
38.697109,8,1325.691869
88.438265,17,1327.021958
44.32354,10,1327.812071
34.326981,7,1328.364583
49.158409,10,1329.146169
76.087441,14,1330.165423
39.416344,9,1330.877206
70.869735,13,1331.883869
47.378696,10,1332.632547
39.271936,8,1333.257529
78.773259,16,1334.522865
78.589391,16,1335.790057
68.952171,14,1336.898682
54.207084,11,1337.78153
98.516766,21,1339.417891
64.04283,13,1340.460034
54.200017,12,1341.401534
63.904831,14,1342.473906
109.342409,21,1344.077452
69.124582,15,1345.226504
49.150997,10,1346.025563
64.181081,14,1347.087643
63.587773,13,1348.04403
59.218282,13,1349.065344
54.197231,12,1350.016059
54.309527,11,1350.900101
69.426903,14,1351.997157
74.891246,14,1353.107009
67.819408,13,1354.133261
54.33627,12,1355.087422
54.111176,11,1355.946747
49.221091,11,1356.817786
54.151304,11,1357.697788
39.326761,8,1358.343384
54.194151,12,1359.282104
39.473312,9,1360.000999
39.361748,8,1360.649577
54.107197,12,1361.564385
44.256892,9,1362.283197
39.442151,8,1362.919037
49.212723,11,1363.772071
83.93398,16,1365.014465
54.088693,11,1365.85035
64.000533,14,1366.910826
54.266881,12,1367.849833
59.104828,12,1368.796193
103.636982,22,1370.551929
59.247408,13,1371.576372
49.351825,11,1372.446631
69.082137,15,1373.642381
39.391247,8,1374.280173
65.093459,11,1375.115763
34.473557,8,1375.808136
84.906795,16,1377.088522
62.263879,13,1378.114187
82.706008,16,1379.360532
59.203304,13,1380.37506
64.129259,14,1381.480884
44.426616,10,1382.253104
63.2801,12,1383.195667
95.757299,20,1384.753537
29.413386,6,1385.239723
39.292653,9,1385.944022
59.143984,13,1386.948374
73.920658,15,1388.148313
44.436998,10,1388.929548
39.426627,9,1389.620044
83.992446,18,1391.024933
64.19974,14,1392.07337
73.791563,15,1393.276767
59.000708,12,1394.237516
79.029437,17,1395.53696
43.503293,9,1396.223769
76.027738,15,1397.395399
69.368741,13,1398.418158
54.090102,11,1399.30159
50.718181,9,1400.020865
73.749328,15,1401.212627
44.278865,9,1401.944622
49.213124,10,1402.757263
83.802982,18,1404.206487
34.488565,8,1404.835392
49.328277,11,1405.685866
38.497857,8,1406.318193
64.858875,12,1407.278318
78.897015,16,1408.581428
34.45118,8,1409.216425
54.052113,12,1410.136758
46.42839,10,1410.931322
49.335902,11,1411.79891
78.181238,16,1413.055582
34.427902,7,1413.611339
98.441249,20,1415.129645
34.395802,7,1415.696169
43.812295,9,1416.423917
59.018297,12,1417.339134
29.422818,6,1417.810833
79.876722,14,1418.859228
107.819507,20,1420.401941
54.081811,11,1421.283408
70.517182,13,1422.31647
73.864059,15,1423.505954
44.352222,9,1424.237852
39.299631,8,1424.884882
55.383906,10,1425.676113
120.097689,21,1427.344528
43.370226,9,1428.069065
52.211837,11,1428.921383
48.691007,10,1429.727298
83.640884,18,1431.083645
54.329957,12,1432.046113
44.253178,9,1432.772191
54.200286,12,1433.709902
76.74279,16,1434.929127
43.777408,9,1435.653044
39.415084,9,1436.364501
58.42493,9,1437.098235
128.566831,24,1438.99779
43.699291,9,1439.700978
63.999925,13,1440.738827
34.435942,7,1441.301292
44.334991,9,1442.026421
39.322791,8,1442.676517
64.991674,12,1443.629324
73.378403,15,1444.795246
59.135883,13,1445.823087
44.26319,10,1446.585902
39.300726,8,1447.207374
75.190029,14,1448.31645
48.462845,9,1449.026865
83.487565,17,1450.385837
34.371308,7,1450.950599
69.083414,15,1452.102166
34.342334,7,1452.653846
86.904364,18,1454.077565
39.405609,8,1454.718256
39.366323,9,1455.433971
98.608001,20,1457.060716
29.413651,6,1457.542202
96.475954,17,1458.912559
44.289962,10,1459.692701
44.483639,10,1460.478111
66.260425,13,1461.522323
44.365486,10,1462.2988
49.357121,9,1463.005355
69.096886,15,1464.165948
49.200891,10,1464.952987
59.145253,13,1466.03291
88.160004,17,1467.39123
63.973474,14,1468.459871
98.677045,21,1470.060623
49.318154,11,1470.922759
44.335269,9,1471.610777
44.377195,10,1472.401425
98.5678,20,1474.009379
84.611927,17,1475.34592
43.760997,9,1476.058756
39.433928,9,1476.760323
51.288226,10,1477.540684
76.423796,13,1478.589456
43.780572,9,1479.295656
78.264383,15,1480.473116
58.219948,12,1481.37925
136.223589,25,1483.284192
87.549471,17,1484.612338
44.432105,10,1485.397681
39.297434,8,1486.05398
52.242502,10,1486.861046
49.276735,10,1487.655537
73.99302,16,1488.892312
42.634683,8,1489.542106
86.959146,16,1490.801512
54.193355,11,1491.677016
57.924952,10,1492.45551
76.928179,16,1493.716513
48.851961,10,1494.503878
73.919911,14,1495.573202
49.242497,10,1496.361622
53.58833,11,1497.228302
159.877507,29,1499.510326
54.20558,12,1500.444803
64.056372,14,1501.527987
51.447352,11,1502.375134
103.881919,19,1503.869227
49.199519,10,1504.677358
44.36805,10,1505.473802
49.158449,10,1506.290301
78.068198,14,1507.402663
64.100353,14,1508.488537
34.453502,7,1509.05242
69.161494,15,1510.255559
88.283972,17,1511.559376
64.166908,13,1512.573838
88.614329,18,1513.986697
64.03886,13,1514.987791
68.258898,13,1515.967496
49.266054,10,1516.744524
59.053724,12,1517.699313
69.035479,14,1518.802793
128.077787,23,1520.629914
58.555036,11,1521.480271
72.266931,14,1522.54706
44.285758,9,1523.246962
73.305187,14,1524.341675
54.090152,12,1525.262324
72.201795,14,1526.378463
54.084191,11,1527.266476
54.617444,10,1528.095003
49.287261,11,1528.965688
49.269547,10,1529.74528
54.181337,11,1530.628799
59.119483,13,1531.660348
73.729651,15,1532.785606
43.577241,9,1533.49171
81.125872,14,1534.588352
59.017295,12,1535.519604
34.519826,8,1536.155616
44.344025,9,1536.927505
68.379056,14,1538.050036
63.916564,14,1539.108491
83.870535,18,1540.529897
49.27448,11,1541.385132
54.166319,12,1542.297814
49.212548,10,1543.073276
108.586619,21,1544.725678
59.179109,13,1545.747577
54.184436,12,1546.655808
51.393892,11,1547.497175
64.178839,14,1548.598661
59.108991,12,1549.542073
49.273567,11,1550.396821
50.498911,10,1551.178718
54.214256,11,1552.060772
34.519159,8,1552.682664
97.167474,19,1554.174628
49.099967,10,1554.995005
39.366138,8,1555.642595
34.357172,7,1556.209291
157.695031,32,1558.565966
34.429088,7,1559.125106
64.02714,13,1560.155535
64.066798,14,1561.278045
34.393331,7,1561.839204
79.056692,17,1563.189371
39.43108,8,1563.824991
93.925836,17,1565.150514
122.513853,22,1566.882206
88.600533,18,1568.270012
54.145877,12,1569.204484
52.342798,11,1570.050459
53.440126,10,1570.838058
62.015811,10,1571.624431
87.494634,13,1572.669524
60.403519,11,1573.556204
59.189495,12,1574.49958
103.209749,21,1576.148704
69.028679,15,1577.328871
54.037928,11,1578.196521
34.386724,7,1578.753765
106.02892,17,1580.064656
54.575564,11,1580.897191
34.368345,7,1581.461165
51.311516,10,1582.26858
49.317312,11,1583.14553
44.248038,9,1583.864598
34.406064,7,1584.41516
59.207313,13,1585.421443
146.780122,24,1587.3294
84.302849,16,1588.619344
69.06713,15,1589.806072
39.398426,9,1590.509799
93.640427,20,1592.08257
57.066767,12,1593.027538
93.44169,19,1594.519295
44.321276,10,1595.322739
34.372592,7,1595.889196
63.315197,12,1596.854916
50.479466,7,1597.434344
39.325391,8,1598.088286
44.429849,10,1598.889091
67.185478,13,1599.921837
118.411548,25,1601.845906
39.366554,8,1602.471852
103.818094,22,1604.196147
108.61102,23,1606.064028
69.050019,14,1607.164875
94.68744,19,1608.543543
34.348246,7,1609.098002
34.440815,7,1609.657509
58.586186,12,1610.606049
54.229732,12,1611.5235
55.111638,9,1612.237434
44.411179,10,1613.032899
101.964954,19,1614.530138
73.336154,15,1615.710451
44.363447,9,1616.421991
34.510876,8,1617.074692
34.378139,7,1617.710537
34.575807,8,1618.35575
103.020032,17,1619.714595
49.251185,10,1620.487977
44.426853,9,1621.183506
68.886427,14,1622.274777
63.081873,12,1623.200119
64.018447,13,1624.236555
44.407262,9,1624.948009
54.199545,12,1625.899795
43.781612,9,1626.637165
74.21281,14,1627.738447
51.352058,8,1628.37987
83.679622,18,1629.797479
76.344973,12,1630.756456
78.57665,16,1632.03458
75.655558,13,1633.097502
44.432783,10,1633.883158
44.335248,10,1634.642831
89.226829,16,1635.887806
54.163117,12,1636.850407
34.432363,7,1637.410431
88.905947,19,1638.898474
75.956632,15,1640.093659
113.400179,23,1641.884935
39.458412,9,1642.575824
52.389507,10,1643.343127
137.79166,22,1645.095264
60.048492,12,1646.034836
54.185274,12,1646.972486
79.78395,16,1648.214223
34.349737,7,1648.759264
39.464361,9,1649.472995
89.183472,17,1650.813509
76.487672,15,1651.988832
34.52877,8,1652.630149
34.402319,7,1653.193951
39.381986,9,1653.903112
73.816416,15,1655.106572
68.890145,14,1656.232886
78.952484,17,1657.536555
49.27105,11,1658.390172
192.228345,39,1661.273634
44.359408,9,1662.001567
49.205325,10,1662.802034
34.432862,8,1663.434658
34.346871,7,1663.999775
99.993924,15,1665.151899
44.335279,10,1665.926761
76.979784,13,1666.93393
64.050649,13,1667.963435
34.411367,7,1668.530419
44.29453,9,1669.262428
57.341496,12,1670.203681
63.208778,12,1671.145497
59.25745,13,1672.175699
83.686727,17,1673.568416
49.285118,11,1674.442922
54.24592,12,1675.39234
53.018749,10,1676.203513
49.293721,10,1677.013506
39.462554,9,1677.714352
44.24166,9,1678.422709
93.707075,20,1679.990937
44.280365,9,1680.720866
49.25055,10,1681.514792
57.185225,11,1682.383187
54.263725,12,1683.324867
67.42953,13,1684.340469
78.434336,13,1685.370394
51.395556,11,1686.229937
59.096698,12,1687.201491
47.470182,10,1687.995516
39.314744,8,1688.624815
49.24047,10,1689.42257
50.451804,9,1690.126208
53.649091,11,1690.983499
95.867521,20,1692.562044
57.483242,10,1693.346444
34.415134,7,1693.901479
39.411553,9,1694.623033
34.436486,8,1695.243226
48.391769,9,1695.956601
44.339392,10,1696.729288
59.226941,13,1697.73402
76.253046,14,1698.888956
58.498634,11,1699.769526
44.389001,9,1700.503809
49.234163,10,1701.315831
68.079487,13,1702.342229
44.253866,9,1703.04616
64.14783,13,1704.103642
69.31178,15,1705.276762
58.349339,12,1706.223874
64.071564,14,1707.338066
53.829061,10,1708.119734
161.788419,28,1710.227374
59.015172,9,1710.922327
120.296053,25,1712.805088
49.15378,10,1713.610185
64.236956,14,1714.716782
48.71017,9,1715.428049
496.254799,101,1722.198058
83.95741,17,1723.571831
34.374295,7,1724.138263
67.82707,13,1725.177339
43.788441,9,1725.880212
103.197944,20,1727.434305
52.967309,10,1728.218615
117.295773,24,1730.020368
49.298168,11,1730.862281
39.321589,8,1731.503525
49.155824,10,1732.31249
29.417868,6,1732.79379
48.554893,9,1733.501569
49.274038,10,1734.302557
49.243607,10,1735.113022
39.504768,9,1735.818392
54.204347,12,1736.783588
57.903931,11,1737.648158
116.614279,19,1739.159627
53.677734,11,1740.030862
49.239582,11,1740.899479
39.347917,9,1741.596077
64.091825,14,1742.650133
49.365607,10,1743.438064
34.498134,8,1744.068344
70.639,12,1745.026959
49.268559,11,1745.894835
38.79621,8,1746.53447
39.444452,9,1747.235533
49.17509,11,1748.065372
39.448804,8,1748.696734
44.302554,9,1749.411774
49.268214,11,1750.255059
88.744332,19,1751.669264
54.072082,11,1752.529593
44.269682,9,1753.236119
50.58563,7,1753.796987
39.349403,9,1754.52127
54.171736,12,1755.45962
83.919343,18,1756.826426
54.287681,12,1757.773566
58.245321,12,1758.679422
115.995772,20,1760.250698
54.23942,11,1761.095591
54.056169,11,1761.936215
58.421787,11,1762.809376
59.1252,12,1763.767098
89.635214,17,1765.125317
54.176804,12,1766.071809
63.99885,13,1767.120424
59.143054,13,1768.148798
44.277019,9,1768.858975
39.354124,8,1769.480492
39.309193,8,1770.119083
103.451306,22,1771.782663
49.312118,11,1772.642641
121.992479,23,1774.426836
64.235638,14,1775.526453
50.168105,9,1776.235656
34.380302,7,1776.796174
39.443191,9,1777.572966
59.181931,11,1778.447754
100.86151,19,1779.943533
65.35885,13,1780.95821
49.219922,10,1781.726219
34.354223,7,1782.268314
34.520247,8,1782.916911
67.48957,12,1783.879938
69.825971,12,1784.871578
49.203965,10,1785.674548
61.888797,11,1786.552233
59.402529,13,1787.573702
44.336272,10,1788.357662
85.366344,15,1789.526846
59.161184,13,1790.537288
54.195727,11,1791.401314
59.107582,12,1792.359346
69.236859,15,1793.531846
49.304251,11,1794.397433
44.313132,10,1795.177452
39.387265,8,1795.815703
147.496258,30,1798.114611
55.372864,11,1798.956765
39.418369,8,1799.609018
71.715606,11,1800.507435
68.912759,15,1801.632791
84.009501,18,1803.045387
39.49947,9,1803.752861
44.445047,10,1804.544961
58.933149,12,1805.48773
39.256942,8,1806.132026
66.022772,14,1807.199197
58.980753,13,1808.216774
39.308806,8,1808.84426
49.333657,11,1809.706124
72.500778,13,1810.757622
54.212209,12,1811.695421
71.168319,12,1812.661459
59.279824,13,1813.691416
53.502699,11,1814.560862
34.416429,7,1815.121181
67.820669,12,1816.046059
89.010558,19,1817.535033
34.519839,8,1818.162144
103.470082,22,1819.828229
44.224626,9,1820.543111
53.745171,11,1821.424711
104.15836,21,1822.969709
44.345563,10,1823.748199
62.760344,12,1824.694872
54.264487,11,1825.578123
44.360444,9,1826.303024
79.702389,15,1827.494991
135.396904,28,1829.727604
59.227175,13,1830.742724
34.394807,7,1831.308216
34.412273,7,1831.874275
63.11809,11,1832.746181
34.457564,8,1833.385609
77.586079,16,1834.633943
57.934678,10,1835.3968
34.4994,8,1836.01649
49.3076,11,1836.870479
72.62477,14,1837.968208
83.857009,18,1839.384942
79.714128,15,1840.520041
109.677685,22,1842.168158
54.312008,12,1843.090905
59.145298,12,1844.053615
77.501073,15,1845.277948
103.708435,22,1846.956067
72.43009,14,1848.070573
54.285159,12,1848.996489
34.319196,7,1849.552125
54.15764,11,1850.394967
34.406302,7,1850.953121
54.189521,12,1851.909798
44.241223,9,1852.627943
44.483152,10,1853.432792
39.409081,9,1854.1329
49.241617,10,1854.91932
39.263056,8,1855.56248
44.40245,10,1856.371459
34.461342,8,1857.001632
58.57393,12,1858.008903
63.948215,14,1859.098175
70.155426,14,1860.160524
56.428346,11,1861.071456
53.031105,10,1861.877311
57.960948,11,1862.734462
57.733389,11,1863.607174
42.970711,8,1864.248317
44.183459,9,1864.968311
64.170664,13,1865.997813
62.101951,12,1866.95483
59.118086,13,1867.944658
44.348511,9,1868.649778
103.461584,21,1870.276707
41.491796,9,1870.979147
57.655455,10,1871.759543
62.323543,10,1872.530234
49.369305,11,1873.394487
83.824698,18,1874.783592
76.828768,16,1876.004885
39.427,9,1876.702009
47.592097,10,1877.485994
49.200251,10,1878.273923
49.487627,9,1879.004701
88.904875,16,1880.220738
90.268715,15,1881.404025
44.426247,10,1882.182868
73.797869,16,1883.405487
66.689532,12,1884.356421
49.173419,11,1885.222656
59.007151,13,1886.246403
34.515775,8,1886.889561
183.741674,33,1889.509545
49.347173,11,1890.351483
39.3407,8,1890.993607
56.272427,12,1891.941092
59.124756,13,1892.959707
60.542162,11,1893.791466
57.755175,10,1894.580276
59.169569,13,1895.534187
82.326993,15,1896.703099
90.010472,15,1897.906879
87.020481,17,1899.257778
49.220635,10,1900.058619
64.282945,14,1901.140307
53.73243,10,1901.949466
44.396051,10,1902.724285
69.04803,15,1903.906858
103.576891,21,1905.588678
69.011854,14,1906.713929
49.223404,10,1907.481522
74.278196,14,1908.586866
82.075504,16,1909.863231
68.957489,14,1911.005612
59.269676,13,1912.053721
59.28139,13,1913.101529
70.955163,15,1914.211823
117.300163,21,1915.770343
78.898145,16,1917.062814
54.373481,12,1918.001047
84.303387,13,1919.032593
54.279696,11,1919.90872
54.244229,12,1920.829935
67.091172,11,1921.689206
34.508034,8,1922.32517
49.441882,11,1923.205673
118.453466,21,1924.870236
78.992887,16,1926.136862
54.27993,12,1927.112725
153.227291,32,1929.619094
54.064943,11,1930.508785
78.804692,17,1931.83335
56.457353,12,1932.775468
58.933831,12,1933.704644
54.40359,12,1934.656886
63.454176,13,1935.662227
69.91542,13,1936.706755
44.215197,10,1937.505951
34.53131,8,1938.187901
102.61005,19,1939.727437
59.04143,12,1940.665551
74.264791,15,1941.8117
34.501919,8,1942.445096
73.927397,16,1943.657853
63.899125,12,1944.617543
64.144078,13,1945.642119
59.16447,13,1946.630684
69.000364,15,1947.816611
68.026734,13,1948.809031
44.25482,9,1949.507129
58.383417,12,1950.451137
54.201598,11,1951.32187
49.369481,11,1952.182536
49.227394,10,1952.961845
54.311054,12,1953.902988
78.400686,16,1955.154388
56.369825,11,1956.037707
48.641113,10,1956.84695
49.368239,11,1957.692036
44.364492,10,1958.473954
59.038839,13,1959.451959
128.557864,27,1961.588925
44.297009,9,1962.301286
39.448256,9,1963.015891
66.364747,12,1963.955899
44.367917,9,1964.672589
81.110174,16,1965.927382
54.293108,11,1966.809841
59.070267,12,1967.704231
90.590293,15,1968.91065
44.460026,10,1969.707284
49.44622,11,1970.562496
44.345085,10,1971.337336
44.445205,10,1972.119202
62.90176,11,1972.979004
39.499347,9,1973.689265
39.427507,9,1974.400335
64.150075,14,1975.507772
39.315112,8,1976.147091
74.160776,14,1977.267721
49.376487,11,1978.13365
64.265956,14,1979.236319
53.447692,10,1980.027485
64.031202,14,1981.128667
44.391836,10,1981.925047
56.331379,12,1982.868862
63.504335,12,1983.840312
80.071924,14,1984.95726
81.997955,16,1986.200235
72.042146,13,1987.218644
68.9536,15,1988.424306
54.269581,12,1989.371148
63.523859,11,1990.234751
51.484915,11,1991.09223
49.481936,11,1991.954005
44.321272,9,1992.672353
48.703475,10,1993.472948
39.493517,9,1994.191416
67.790168,13,1995.234841
44.302805,10,1996.005236
54.365768,11,1996.88966
51.306075,11,1997.730623
61.781503,11,1998.607785
54.085848,11,1999.487861
68.945965,14,2000.581011
59.109271,13,2001.609977
144.840831,25,2003.493229
44.449815,10,2004.275218
49.230404,11,2005.137226
80.625216,13,2006.122312
62.144593,13,2007.159248
48.633077,10,2007.941059
54.136476,12,2008.857113
63.432028,13,2009.899177
39.391108,8,2010.531715
39.396212,9,2011.233731
67.489881,12,2012.166004
49.168824,10,2012.95867
54.11961,12,2013.88305
44.462511,10,2014.679678
39.333661,9,2015.383837
49.310926,11,2016.252689
39.444671,9,2016.964253
44.317602,9,2017.672207
34.356197,7,2018.227301
67.972747,10,2019.082375
63.958983,13,2020.136507
102.220445,20,2021.734088
108.718915,23,2023.542764
54.261678,12,2024.489927
66.259238,14,2025.577057
49.16376,10,2026.372115
58.936992,12,2027.328148
105.237854,19,2028.838652
34.40177,7,2029.407861
54.142757,12,2030.366782
62.69525,12,2031.299147
116.827701,20,2032.916543
54.210112,11,2033.806909
34.448001,8,2034.457239
34.511316,8,2035.086643
64.197282,14,2036.155782
47.49332,10,2036.943958
101.302262,19,2038.422986
54.232683,12,2039.334306
85.537771,15,2040.496184
49.302282,11,2041.389234
39.39598,8,2042.037376
54.216489,12,2042.985311
34.402745,8,2043.622207
39.428645,9,2044.353841
39.33875,8,2044.996392
82.102436,15,2046.171355
64.044257,13,2047.19369
43.781762,9,2047.921803
48.553053,10,2048.729373
39.367451,8,2049.362741
69.707285,13,2050.368602
59.836978,10,2051.164955
39.362934,9,2051.870134
48.584874,10,2052.656575
83.719607,17,2053.962572
76.084419,16,2055.226197
48.414446,10,2056.025426
43.806824,9,2056.739709
68.491555,14,2057.817411
59.122185,12,2058.773406
43.811391,9,2059.48644
91.821714,18,2060.931191
49.182657,10,2061.719117
48.365724,10,2062.520907
68.523152,14,2063.65285
63.964377,14,2064.715662
78.236342,16,2065.947513
34.417532,7,2066.501791
54.127731,12,2067.413443
63.987215,14,2068.485679
49.180991,10,2069.228476
73.874177,16,2070.453534
63.976879,13,2071.474796
54.568863,11,2072.355602
79.436481,15,2073.51572
82.329788,15,2074.701839
59.106202,13,2075.723762
81.387636,15,2076.918652
54.242264,12,2077.835689
54.366018,10,2078.595515
118.343023,24,2080.398447
91.92573,17,2081.718765
78.840237,17,2083.039673
38.773923,8,2083.653566
59.072068,11,2084.499503
73.19689,12,2085.440563
135.382245,26,2087.525676
64.034891,14,2088.602759
76.90491,15,2089.785566
59.082455,12,2090.73556
59.021298,12,2091.697195
82.312734,16,2092.93383
39.387369,9,2093.616899
54.151654,11,2094.498996
54.195966,12,2095.441885
39.356192,8,2096.070402
115.176281,22,2097.803781
43.067037,9,2098.503261
49.197034,11,2099.400086
69.045413,14,2100.506419
55.269684,11,2101.374628
44.446392,10,2102.17921
54.266656,12,2103.123632
44.374839,10,2103.920414
53.652136,11,2104.802758
64.020072,13,2105.815319
115.306202,23,2107.598199
34.366708,7,2108.154536
68.161693,12,2109.12022
44.330582,9,2109.845379
66.258653,14,2110.909583
145.43046,28,2113.117177
85.113518,16,2114.372468
48.456188,9,2115.066675
59.105285,13,2116.093532
83.082356,17,2117.411588
58.976192,12,2118.345697
39.514328,9,2119.074057
49.386535,11,2119.964085
78.088283,13,2120.983277
53.213707,10,2121.771755
69.095831,15,2122.974836
54.184884,11,2123.859909
59.101328,12,2124.815112
83.682512,18,2126.231837
73.790596,15,2127.402008
44.323585,9,2128.115735
88.51266,18,2129.560691
49.315208,10,2130.355998
49.188274,10,2131.164074
83.600231,17,2132.465225
118.60396,25,2134.417208
39.396687,8,2135.065599
54.354113,12,2135.977954
44.294626,10,2136.77016
46.04464,9,2137.475301
39.34702,8,2138.10578
88.980932,17,2139.434244
44.419004,10,2140.202598
63.958837,13,2141.200716
44.351561,9,2141.889282
128.39292,27,2144.005444
48.020962,9,2144.737602
79.010614,17,2146.075503
65.77364,12,2147.044277
68.876875,14,2148.129033
80.918892,17,2149.391498
103.604653,22,2151.102422
59.0566,12,2152.058584
72.602249,12,2152.986889
72.167705,15,2154.1659
87.08291,17,2155.505866
34.3412,7,2156.066493
49.213285,10,2156.866558
95.441878,15,2158.074877
