#{"t_start": 1622666921.248959, "env_id": null}
r,l,t
69.139136,14,249.906713
39.49313,9,250.604058
54.261719,11,251.482373
39.351925,8,252.131037
59.064416,12,253.03104
39.410804,9,253.730381
39.403332,8,254.357867
76.481634,15,255.515599
34.515997,8,256.13319
60.958582,11,256.971785
54.261523,12,257.906334
69.407853,13,258.931204
54.171877,11,259.788845
39.444657,9,260.483171
44.186407,9,261.200799
58.362462,11,262.092949
59.105239,12,263.071822
64.112037,14,264.157293
44.25014,10,264.927809
54.326265,12,265.860924
88.96495,19,267.330794
34.391539,7,267.896934
88.812726,19,269.400999
142.357985,24,271.30597
44.301614,9,272.02234
39.353821,8,272.665791
49.308163,11,273.520411
59.159378,13,274.540794
69.075393,15,275.663862
39.437529,9,276.364095
44.405874,10,277.143082
48.792536,10,277.9413
39.302039,8,278.594503
34.512018,8,279.222934
89.166892,18,280.607057
68.247627,14,281.689868
97.287542,19,283.18953
67.850804,13,284.221986
53.391352,8,284.847197
53.319676,11,285.698306
69.011186,15,286.874792
64.082153,14,287.949345
50.265381,10,288.735724
63.49222,10,289.500354
44.17655,9,290.190031
47.481521,10,290.96642
39.424493,8,291.599182
144.300908,23,293.336167
44.407073,10,294.11131
44.316626,9,294.834402
34.548669,8,295.465348
79.517568,14,296.570645
54.235988,11,297.430464
57.725811,10,298.247325
49.285738,11,299.113795
59.073119,12,300.07279
39.53021,9,300.789928
54.217505,12,301.732769
39.307898,8,302.353122
64.034918,14,303.420133
44.22393,9,304.147109
71.164957,14,305.278475
44.31838,9,305.979227
64.052619,13,306.992915
39.304811,8,307.623513
58.45552,12,308.578848
39.302108,8,309.214722
60.993113,12,310.153827
34.45918,7,310.713375
49.351518,10,311.52304
64.119864,14,312.619537
44.220699,9,313.345864
64.056049,13,314.391525
73.122568,13,315.417897
63.940067,14,316.451622
98.631633,21,317.986749
77.057392,14,319.088181
73.977911,16,320.357219
64.985671,12,321.265585
99.106229,16,322.598593
112.972896,20,324.186252
51.394599,11,325.03963
39.39465,9,325.759053
54.049809,12,326.670418
86.823499,18,328.070899
52.609298,9,328.772966
46.432864,10,329.555626
59.165915,13,330.573232
34.479889,8,331.206539
61.308122,11,332.087197
46.346615,10,332.871262
54.099783,12,333.7971
39.298567,9,334.508962
49.4427,9,335.230075
34.404219,7,335.796692
49.231799,11,336.662424
183.454576,31,339.070954
44.340178,10,339.857225
44.287872,9,340.586123
62.304631,13,341.624731
44.304802,9,342.328533
39.297447,8,342.970885
49.387697,11,343.846197
54.30604,12,344.80647
74.023196,15,345.974339
39.326263,8,346.603203
66.049348,13,347.627899
54.318676,12,348.54955
58.976452,12,349.495278
74.068408,11,350.353846
44.392963,10,351.151343
48.95633,10,351.922991
49.413628,11,352.760413
78.012359,14,353.852212
69.041788,15,355.037369
54.225929,12,355.95269
59.518611,12,356.879755
112.718029,23,358.643861
88.595081,18,360.066421
34.463756,8,360.674704
69.136227,15,361.872912
39.325772,8,362.525833
57.357447,10,363.299188
34.38455,7,363.844159
93.665578,20,365.355586
63.977384,13,366.381691
39.288159,8,367.01266
78.913088,13,368.019128
63.984387,13,369.056243
74.249086,16,370.34044
54.173363,11,371.225136
64.219831,14,372.304651
44.354329,9,373.028068
95.6008,17,374.391916
63.062065,12,375.353246
44.335266,9,376.074237
83.857878,17,377.394208
44.235524,9,378.111745
93.456571,20,379.548616
82.615798,15,380.705507
44.170558,9,381.403327
168.239558,31,383.860574
113.035968,21,385.592232
86.933985,14,386.776109
83.733493,18,388.223336
44.5494,10,389.063327
62.624255,12,390.112795
44.289514,9,390.840123
83.904713,18,392.203796
59.224144,11,393.077747
83.348267,15,394.308007
62.822861,11,395.208622
54.15601,11,396.08925
39.352925,8,396.723793
49.159782,10,397.525893
39.366432,8,398.179256
83.946797,17,399.587863
105.548358,21,401.293763
49.188432,10,402.096826
83.776105,16,403.484187
49.261986,10,404.319704
64.037296,13,405.351582
39.429133,9,406.08169
127.588127,25,408.088449
34.390892,7,408.657813
54.213492,12,409.651389
44.237561,9,410.372415
54.102831,12,411.349099
73.898437,16,412.61339
49.276265,11,413.494704
44.351699,10,414.28287
44.221481,9,415.011385
34.407616,7,415.580323
49.183904,10,416.392859
134.20379,24,418.355073
69.718999,12,419.332443
73.872969,16,420.608642
39.402721,8,421.248256
39.386772,9,421.950665
63.444417,13,422.988824
49.216098,10,423.787976
39.502746,9,424.506812
49.254337,11,425.384911
54.229163,11,426.288771
44.473401,10,427.098186
39.384576,8,427.742077
65.024836,12,428.704612
56.322183,12,429.665907
49.145508,10,430.493031
78.87784,17,431.783126
112.587404,22,433.542943
49.296742,11,434.432604
49.335698,11,435.326228
54.561392,11,436.197392
73.937324,15,437.395318
140.044966,28,439.618691
49.196745,10,440.386141
108.688802,23,442.180178
51.302579,10,442.990856
34.370953,7,443.541157
73.998649,15,444.776634
63.963685,13,445.794764
39.515175,9,446.526796
85.436355,13,447.583766
59.14056,13,448.642545
90.284008,15,449.875303
39.285071,8,450.520304
39.402427,8,451.179735
91.52717,18,452.641619
49.216813,11,453.50422
39.379177,8,454.142663
39.355843,9,454.864555
39.35489,8,455.509936
39.440367,9,456.228991
70.300225,14,457.335092
44.381075,10,458.133536
69.079844,15,459.337175
107.900194,21,461.048243
43.71478,9,461.777751
73.883443,16,462.982094
88.268784,14,464.112338
59.27103,13,465.149963
59.1821,13,466.210469
49.261512,10,466.998002
43.578758,9,467.736062
52.576888,10,468.558177
54.160055,11,469.461799
44.383485,10,470.284174
54.205216,11,471.174547
54.230209,12,472.132377
59.232131,13,473.178228
58.777409,11,474.089466
48.633416,10,474.887346
44.23753,9,475.614594
54.333502,11,476.521466
78.728187,16,477.833117
63.97176,13,478.895611
49.258514,10,479.712551
63.126849,11,480.598392
44.269877,9,481.305119
78.144913,16,482.551172
44.347411,10,483.362084
44.38173,10,484.148646
73.929199,15,485.461145
73.807056,15,486.648264
54.165774,11,487.533653
49.418373,10,488.30628
83.831788,17,489.71232
44.265898,10,490.528666
53.476753,11,491.407783
67.964213,12,492.377882
69.059944,15,493.58597
49.134233,10,494.381086
44.217734,9,495.110901
39.399623,9,495.830683
83.81019,17,497.18776
34.455091,8,497.80943
44.420749,10,498.599625
44.379105,9,499.318114
78.039269,16,500.587152
39.430746,9,501.298181
63.110822,12,502.23198
59.036336,13,503.257061
39.270322,8,503.894883
39.40217,8,504.535752
39.444736,8,505.195701
34.451183,8,505.83505
39.317904,8,506.48056
44.232762,9,507.220098
57.16117,12,508.178438
47.893973,9,508.890009
80.660051,15,510.112511
39.345847,8,510.764337
41.423445,9,511.46875
39.292516,8,512.122765
84.102515,18,513.53766
82.556976,11,514.414694
88.280797,17,515.787413
65.023234,13,516.830837
59.153077,13,517.866229
